Record ,longitude,latitude,Elev,Trend,Elev,Elev (KPB),Elev difference,Cluster #,Time bin
610.0,-106.6555378,47.63613386,778.0,161.0,778.0,814.3431624,-36.3431624,0,0
611.0,-106.6410785,47.6445839,775.0,118.0,775.0,814.2565303,-39.2565303,0,0
1958.0,-106.266115,47.61023039,681.0,54.0,681.0,738.1537735,-57.1537735,0,0
1789.0,-106.28804,47.63555855,706.0,93.0,706.0,749.4287113,-43.4287113,0,0
1825.0,-106.2667598,47.63912477,704.0,98.0,704.0,746.7359236,-42.7359236,0,0
1771.0,-106.2781134,47.64556734,708.0,124.0,708.0,750.6186448,-42.6186448,0,0
1803.0,-106.2822908,47.63454321,708.0,104.0,708.0,748.1217473,-40.1217473,0,0
1762.0,-106.296749,47.6378179,714.0,120.0,714.0,751.6212321,-37.6212321,0,0
1810.0,-106.2803908,47.6346904,711.0,110.0,711.0,747.8321198,-36.8321198,0,0
756.0,-106.3682966,47.78154675,713.0,171.0,713.0,806.2686842,-93.2686842,0,0
2270.0,-106.3260095,47.49976777,696.0,68.0,696.0,716.3380187,-20.3380187,0,1
2133.0,-106.3684262,47.50205881,723.0,174.0,723.0,724.4872397,-1.4872397,0,1
2151.0,-106.3666291,47.49983969,723.0,169.0,723.0,723.5225245,-0.5225245,0,1
26.0,-107.1597471,47.54129904,848.0,44.0,848.0,876.2354833,-28.2354833,0,1
220.0,-107.1598802,47.55068193,861.0,131.0,861.0,878.98227,-17.98227,0,1
27.0,-107.156046,47.54340236,862.0,161.0,862.0,876.1880294,-14.1880294,0,1
16.0,-107.1707192,47.5363586,871.0,49.0,871.0,876.7594016,-5.7594016,0,1
216.0,-107.1773195,47.54139856,879.0,113.9,879.0,879.3988596,-0.3988596,0,1
516.0,-106.8279659,47.55098345,790.0,104.0,790.0,820.049436,-30.049436,0,1
497.0,-106.8346318,47.55232571,800.0,115.0,800.0,821.6248223,-21.6248223,0,1
489.0,-106.838124,47.55222478,802.0,77.0,802.0,822.2140973,-20.2140973,0,1
1722.0,-106.4660954,47.54559052,750.0,89.0,750.0,754.4523073,-4.4523073,0,1
2102.0,-106.371719,47.50765233,713.0,62.0,713.0,726.7080396,-13.7080396,0,1
2081.0,-106.3756621,47.50913478,718.0,35.0,718.0,727.8355462,-9.8355462,0,1
2010.0,-106.3986428,47.51783694,727.0,71.0,727.0,734.4348833,-7.4348833,0,1
2054.0,-106.3828991,47.51466259,727.0,89.0,727.0,730.7304349,-3.7304349,0,1
2045.0,-106.3695222,47.5263228,727.0,59.0,727.0,731.7851534,-4.7851534,0,1
2326.0,-106.2083808,47.55362574,692.0,163.0,692.0,711.4171176,-19.4171176,0,1
2374.0,-106.2045779,47.54022262,702.0,110.0,702.0,706.8169159,-4.8169159,0,1
2365.0,-106.203294,47.54508607,705.0,104.0,705.0,708.0181328,-3.0181328,0,1
2296.0,-106.2271361,47.5491075,713.0,163.0,713.0,713.3888721,-0.3888721,0,1
2302.0,-106.2273843,47.54778213,713.0,158.0,713.0,713.0442327,-0.0442327,0,1
1.0,-107.3455716,47.59611084,904.0,158.0,904.0,925.2738745,-21.2738745,0,1
1605.0,-106.4643184,47.57005218,751.0,141.0,751.0,761.2926188,-10.2926188,0,1
2131.0,-106.2269167,47.58752252,694.0,52.0,694.0,724.6130615,-30.6130615,0,1
2135.0,-106.2299484,47.58522255,701.0,59.0,701.0,724.4714521,-23.4714521,0,1
2277.0,-106.2010635,47.57193265,700.0,105.0,700.0,715.4975397,-15.4975397,0,1
2293.0,-106.1968342,47.56780178,702.0,77.0,702.0,713.546239,-11.546239,0,1
2208.0,-106.2153828,47.57994302,717.0,75.0,717.0,720.3637048,-3.3637048,0,1
630.0,-106.654264,47.63289492,783.0,165.0,783.0,813.1743274,-30.1743274,0,1
604.0,-106.6744005,47.62608808,791.0,95.0,791.0,814.7481679,-23.7481679,0,1
687.0,-106.6417044,47.630142,788.0,83.0,788.0,810.1535732,-22.1535732,0,1
563.0,-106.7089645,47.6137547,798.0,53.0,798.0,817.2628143,-19.2628143,0,1
726.0,-106.6158709,47.63803127,790.0,178.0,790.0,807.8919305,-17.8919305,0,1
764.0,-106.6122857,47.63270987,794.0,106.0,794.0,805.7089686,-11.7089686,0,1
805.0,-106.5898266,47.63659561,792.0,121.0,792.0,802.8769025,-10.8769025,0,1
815.0,-106.6080373,47.62353747,796.0,3.0,796.0,802.2803935,-6.2803935,0,1
710.0,-106.6337873,47.62981415,803.0,107.0,803.0,808.6581446,-5.6581446,0,1
1418.0,-106.4383192,47.62032054,753.0,124.0,753.0,771.4078396,-18.4078396,0,1
1375.0,-106.4466772,47.62418356,760.0,110.0,760.0,774.0083999,-14.0083999,0,1
1346.0,-106.4450504,47.62938694,767.0,120.0,767.0,775.2430882,-8.2430882,0,1
1362.0,-106.4439595,47.6274751,767.0,173.0,767.0,774.4939163,-7.4939163,0,1
1424.0,-106.4512374,47.6105389,765.0,108.0,765.0,770.8220222,-5.8220222,0,1
1846.0,-106.2536856,47.63910645,709.0,89.0,709.0,744.4340978,-35.4340978,0,1
922.0,-106.5051346,47.66686483,784.0,13.0,784.0,796.7861622,-12.7861622,0,1
1158.0,-106.4420988,47.66191588,772.0,38.0,772.0,784.2367993,-12.2367993,0,1
839.0,-106.5042595,47.68229885,796.0,106.0,796.0,801.1404818,-5.1404818,0,1
1458.0,-106.1653957,47.77681325,744.0,108.0,744.0,769.337544,-25.337544,0,1
1527.0,-106.1573454,47.76773504,744.0,161.0,744.0,765.2646097,-21.2646097,0,1
1473.0,-106.1652198,47.77491652,749.0,128.0,749.0,768.7484053,-19.7484053,0,1
1083.0,-106.252488,47.7898873,760.0,150.0,760.0,788.4137024,-28.4137024,0,1
236.0,-107.2088299,47.40911944,864.0,130.0,864.0,846.6663368,17.3336632,0,2
239.0,-107.2080126,47.40859528,865.0,146.0,865.0,846.3706287,18.6293713,0,2
268.0,-107.1803112,47.40770392,859.0,121.0,859.0,841.158417,17.841583,0,2
266.0,-107.1800958,47.40922879,860.0,78.0,860.0,841.5628642,18.4371358,0,2
346.0,-107.1528466,47.39405932,854.0,148.0,854.0,832.2917846,21.7082154,0,2
277.0,-107.174353,47.40561247,862.0,118.0,862.0,839.4861406,22.5138594,0,2
134.0,-107.2602843,47.43161159,875.0,173.0,875.0,862.3893334,12.6106666,0,2
99.0,-107.26882,47.44445498,884.0,147.0,884.0,867.6369098,16.3630902,0,2
145.0,-107.2536378,47.42720716,878.0,152.0,878.0,859.9258681,18.0741319,0,2
147.0,-107.2533772,47.4257635,880.0,165.0,880.0,859.4594913,20.5405087,0,2
149.0,-107.2532891,47.42525231,881.0,144.0,881.0,859.2948105,21.7051895,0,2
150.0,-107.2530408,47.42471727,882.0,136.0,882.0,859.0973244,22.9026756,0,2
229.0,-107.1946491,47.42099119,868.0,153.0,868.0,847.5737796,20.4262204,0,2
2333.0,-106.3751452,47.4517053,712.0,126.0,712.0,710.9364418,1.0635582,0,2
649.0,-106.8654523,47.50017788,830.0,125.0,830.0,811.9165522,18.0834478,0,2
634.0,-106.8693377,47.50152733,832.0,113.4,832.0,812.9969051,19.0030949,0,2
676.0,-106.8626595,47.49818066,830.0,125.2,830.0,810.8384688,19.1615312,0,2
1584.0,-106.5882032,47.5007547,783.0,37.0,783.0,762.9283303,20.0716697,0,2
2001.0,-106.4517773,47.48859814,739.0,177.0,739.0,735.2598654,3.7401346,0,2
2009.0,-106.4498759,47.48703851,739.0,177.0,739.0,734.4687619,4.5312381,0,2
1955.0,-106.4485118,47.50115598,752.0,131.0,752.0,738.3565189,13.6434811,0,2
1966.0,-106.4452513,47.50040528,757.0,175.0,757.0,737.5617353,19.4382647,0,2
2051.0,-106.4006189,47.50474745,737.0,125.0,737.0,730.9533218,6.0466782,0,2
2055.0,-106.4203551,47.49206012,744.0,97.0,744.0,730.7267565,13.2732435,0,2
2273.0,-106.3776185,47.46817841,734.0,38.0,734.0,716.1951243,17.8048757,0,2
2070.0,-106.403214,47.49798506,752.0,121.0,752.0,729.4337347,22.5662653,0,2
2154.0,-106.3665543,47.49900375,724.0,166.0,724.0,723.262332,0.737668,0,2
2164.0,-106.3674609,47.49659042,728.0,175.0,728.0,722.7176793,5.2823207,0,2
2366.0,-106.2743002,47.50232473,726.0,143.0,726.0,707.979879,18.020121,0,2
2343.0,-106.2796485,47.5060264,730.0,171.0,730.0,710.0034455,19.9965545,0,2
2360.0,-106.2758086,47.50374766,729.0,153.0,729.0,708.6618387,20.3381613,0,2
2409.0,-106.2701564,47.4896293,726.0,29.0,726.0,703.5265774,22.4734226,0,2
