Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
178,-106.8987014,47.62705708,734,158,854.7358764,-120.7358764
1339,-106.3072647,47.71294809,681,105,775.4762487,-94.4762487
1342,-106.3075862,47.71247654,681,61,775.392965,-94.392965
199,-107.1073667,47.59278196,788,163,881.8453462,-93.8453462
756,-106.3682966,47.78154675,713,171,806.2686842,-93.2686842
1401,-106.3027158,47.70589152,681,84,772.6109254,-91.6109254
1422,-106.3003196,47.70173469,681,103,770.9708546,-89.9708546
1423,-106.2987138,47.70255369,681,94,770.9297247,-89.9297247
158,-107.0321779,47.55725494,776,64,858.1502701,-82.1502701
708,-106.3918874,47.77561245,727,63,808.6708288,-81.6708288
442,-106.4176489,47.81878333,745,134,825.8233526,-80.8233526
760,-106.4054801,47.75744216,730,127,805.7398927,-75.7398927
1193,-106.3548464,47.70725831,708,79.9,782.1627051,-74.1627051
758,-106.4049591,47.75890618,733,18,806.0787593,-73.0787593
1485,-106.2666591,47.71092014,695,126,767.7557047,-72.7557047
638,-106.5048788,47.72188169,741,29,812.8178732,-71.8178732
1768,-106.2291447,47.6757956,681,99,750.879401,-69.879401
1032,-106.3607826,47.73249905,721,66,790.5929227,-69.5929227
979,-106.3837819,47.72970459,725,52,793.814957,-68.814957
22,-107.1700521,47.63503885,837,166,905.2623317,-68.2623317
1245,-106.3670996,47.68950407,711,29,779.1191086,-68.1191086
1025,-106.3638447,47.73177886,723,97,790.9191371,-67.9191371
1005,-106.3700053,47.73224534,725,128,792.137057,-67.137057
827,-106.3863843,47.75589288,735,151,801.9333369,-66.9333369
990,-106.3713082,47.73411933,726,168,792.9147713,-66.9147713
1812,-106.2557325,47.6489638,681,113,747.6828918,-66.6828918
730,-106.4121111,47.75988014,741,121,807.6184009,-66.6184009
1808,-106.2573372,47.64869428,682,103,747.8852338,-65.8852338
8,-107.2130928,47.62747648,845,5,910.7344842,-65.7344842
994,-106.3705316,47.73349876,727,128,792.5970336,-65.5970336
1035,-106.3625426,47.73094853,725,90,790.4484573,-65.4484573
1805,-106.2584374,47.64848426,683,104,748.0179035,-65.0179035
136,-107.1597798,47.595433,827,107,891.9450191,-64.9450191
339,-106.7618308,47.63504521,768,125,832.8178156,-64.8178156
208,-107.0039387,47.54876263,786,113,850.6591282,-64.6591282
1772,-106.2247021,47.67667091,686,29,750.356476,-64.356476
1597,-106.3031203,47.67023727,698,103,762.2373592,-64.2373592
1353,-106.3340078,47.6951394,711,57,774.9547744,-63.9547744
361,-106.5280069,47.76948077,767,148,830.7955114,-63.7955114
1382,-106.3450716,47.68432971,710,150,773.734008,-63.734008
93,-107.139355,47.62075039,832,88,895.6549179,-63.6549179
1173,-106.3579809,47.7104065,720,87.4,783.6330218,-63.6330218
460,-106.4549194,47.79001893,761,128,823.9497179,-62.9497179
1793,-106.2211853,47.67383807,686,114,748.912237,-62.912237
1255,-106.3640786,47.689657,716,29,778.6330561,-62.6330561
784,-106.3968513,47.75860926,742,115,804.5676313,-62.5676313
1192,-106.3217723,47.72726842,720,17.4,782.2148839,-62.2148839
113,-107.1112977,47.63260831,832,61,894.1037348,-62.1037348
851,-106.4456515,47.71578683,739,28,800.6178091,-61.6178091
1594,-106.3046394,47.670256,701,89,762.5104467,-61.5104467
1606,-106.2926954,47.67262269,700,118,761.1043298,-61.1043298
1702,-106.2729862,47.66634659,695,105,755.8047843,-60.8047843
744,-106.404462,47.7612607,746,25,806.6806586,-60.6806586
60,-107.1797456,47.60627617,838,71,898.6450821,-60.6450821
1604,-106.2955122,47.67232098,701,116,761.5118619,-60.5118619
1492,-106.315022,47.68053904,707,128,767.3437201,-60.3437201
1513,-106.3268873,47.66978488,706,115,766.2804367,-60.2804367
455,-106.4556081,47.79029813,764,128,824.1537897,-60.1537897
1390,-106.3257924,47.69386695,713,8,773.1395806,-60.1395806
69,-107.1327062,47.63201419,838,46,897.7401563,-59.7401563
1383,-106.3265913,47.69541435,714,178,773.7324429,-59.7324429
1234,-106.3191953,47.71974889,720,53,779.560483,-59.560483
1679,-106.2801137,47.667482,698,105,757.3897029,-59.3897029
1431,-106.3239781,47.68537589,711,110,770.3360928,-59.3360928
503,-106.527578,47.73705813,762,129.1,821.2458242,-59.2458242
646,-106.4227747,47.76923213,753,29,812.2284271,-59.2284271
721,-106.4044155,47.76647101,749,146,808.1964096,-59.1964096
